company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
monuments and memorials,"('memorial', -7.206800550203659)","('park', -7.6380507619182225)","('monument', -7.758949582370212)","('statue', -7.9063397158700965)","('site', -7.947655052074828)","('parks', -8.267876973895056)","('trade', -8.322171875613343)","('ground', -8.390455181662698)","('design', -8.392917182000465)","('zero', -8.440441415215597)"
waste materials and disposal,"('waste', -6.790045065070054)","('garbage', -7.063505877657377)","('environmental', -7.0817184232424815)","('recycling', -7.189199415285793)","('trash', -7.307958793389201)","('landfill', -7.536606738936733)","('sanitation', -7.657676348040187)","('disposal', -7.726077459256342)","('landfills', -7.870316852334682)","('water', -7.870752321589219)"
recycling of waste materials,"('recycling', -7.209115703440353)","('waste', -8.017924976730527)","('recycled', -8.16644642907352)","('garbage', -8.25755164422265)","('trash', -8.368756718435996)","('environmental', -8.435300344787262)","('recycle', -8.472274715974285)","('plastic', -8.657769376547488)","('landfills', -8.701933900098275)","('sanitation', -8.718953435649638)"
mathematics,"('math', -7.584021864306889)","('mathematics', -7.91337491968459)","('students', -7.982161290059484)","('education', -8.37108777651141)","('schools', -8.41204972884353)","('teachers', -8.488283890405182)","('science', -8.500022592702601)","('test', -8.596466938293048)","('grade', -8.627380605652167)","('tests', -8.707207661139016)"
legal profession,"('lawyers', -6.77507917943287)","('lawyer', -7.195626533268892)","('legal', -7.33587636612215)","('court', -7.559627910596276)","('firm', -7.677859020925341)","('firms', -7.819747570344238)","('attorney', -7.823895999028483)","('clients', -7.829248023219645)","('judge', -7.884141798417998)","('cases', -7.939666345782214)"
property taxes,"('tax', -7.140673183088202)","('property', -7.179540211414106)","('taxes', -7.239808597006568)","('budget', -7.9112558792800165)","('county', -8.078555625288786)","('increase', -8.209275488277118)","('homeowners', -8.284528344997184)","('legislature', -8.299448970886129)","('pay', -8.390222872703244)","('income', -8.401529657429322)"
airports,"('airport', -6.283293283974951)","('airports', -6.975893853547479)","('airlines', -7.2414405245850855)","('passengers', -7.241479814988563)","('flights', -7.460367392020722)","('airline', -7.52270624289634)","('flight', -7.533745616976578)","('aviation', -7.556050788855288)","('terminal', -7.623558353326741)","('air', -7.675931202576414)"
relocation of business,"('headquarters', -8.258930714876918)","('building', -8.271890849274094)","('jersey', -8.300486593037554)","('manhattan', -8.389769624423703)","('jobs', -8.414688595990622)","('square', -8.437434917401998)","('mayor', -8.438364257257128)","('space', -8.447434889468298)","('employees', -8.462963538300757)","('stadium', -8.463490635927384)"
recording equipment,"('digital', -7.998041899771731)","('audio', -8.004062309018805)","('video', -8.152115203850084)","('cd', -8.201221790842064)","('dvd', -8.269461458985628)","('music', -8.396802807779297)","('sound', -8.466075826143635)","('sony', -8.506157244456109)","('recording', -8.623005895027651)","('recorder', -8.652366572150202)"
poetry and poets,"('poetry', -7.327409683122285)","('poet', -7.62539769688755)","('poems', -7.709732572025913)","('poets', -7.908086152369182)","('poem', -7.922324573969901)","('book', -8.582849070204032)","('read', -8.746829601624249)","('writing', -8.75204895400349)","('verse', -8.822948490750736)","('laureate', -8.841587023548641)"
recordings (video),"('video', -6.71378565824612)","('film', -7.241848901553907)","('dvd', -7.546679823052968)","('minutes', -7.669318364507287)","('95', -7.789269771623536)","('captioned', -7.7953606324568785)","('movie', -7.8375331524133305)","('films', -7.863292119491339)","('tape', -7.930275429000337)","('98', -7.996638092420849)"
unemployment,"('unemployment', -6.601984777649068)","('jobs', -6.906723689983842)","('rate', -7.164326275374542)","('economy', -7.262939663548948)","('labor', -7.277466484616513)","('employment', -7.4342690551937585)","('job', -7.448404462273844)","('workers', -7.470894129963507)","('economic', -7.5384586363232575)","('jobless', -7.609589731842977)"
mortgages,"('mortgage', -6.760621573305177)","('mortgages', -6.972458103776489)","('rate', -7.405145563220199)","('rates', -7.599190060692789)","('loan', -7.643768388888176)","('adjustable', -7.660968445308989)","('lenders', -7.709917921431135)","('loans', -7.719685672257761)","('housing', -7.948694484523482)","('yr', -8.002299864367863)"
"fishing, commercial","('fishing', -7.805000080978342)","('fish', -7.930652968131249)","('fishermen', -8.023411697580414)","('fisheries', -8.34009144528038)","('waters', -8.637022816807086)","('boats', -8.700574775976019)","('marine', -8.740691643028816)","('boat', -8.757159415449014)","('species', -8.762569488518004)","('sea', -8.77225242130919)"
history,"('history', -7.376439329037326)","('century', -7.727304025213794)","('museum', -8.004377179229401)","('historians', -8.129002072735538)","('historical', -8.138196100321846)","('book', -8.162360657677006)","('historian', -8.190965187869402)","('2000', -8.375286510121486)","('art', -8.395345360187044)","('america', -8.458168267377182)"
minorities (us),"('minority', -7.010219305328749)","('holocaust', -7.46093970101302)","('minorities', -7.486446130312808)","('black', -7.509423492275812)","('hispanic', -7.593462003328833)","('racial', -7.597730605517393)","('ethnic', -7.680535468713045)","('students', -7.785493639143817)","('nazi', -7.791351031958693)","('jews', -7.8057499928237535)"
parking,"('parking', -7.022124123353008)","('cars', -8.419441781666634)","('car', -8.478094930578678)","('garage', -8.5016600641081)","('alternate', -8.54745112886224)","('spaces', -8.548822176059044)","('park', -8.686574516222786)","('police', -8.818988035909344)","('regulations', -8.826822746512915)","('transportation', -8.834853137956035)"
computers and the internet,"('computer', -5.974889204254725)","('internet', -6.052134987425053)","('software', -6.27876433179176)","('web', -6.330582717884233)","('computers', -6.47513083176198)","('technology', -6.489046163508593)","('online', -6.545825386521605)","('com', -6.643468700223326)","('companies', -6.665182931085452)","('site', -6.6991847510139815)"
computer software,"('software', -6.0780793956317)","('microsoft', -6.406347167363212)","('computer', -6.589487274923361)","('windows', -6.986142461884292)","('computers', -7.055177888325068)","('internet', -7.200353514633798)","('technology', -7.265224254852612)","('users', -7.273791287529513)","('operating', -7.359167680203207)","('pc', -7.388591498188954)"
automobile racing,"('racing', -7.07137894855401)","('race', -7.1990701685710725)","('nascar', -7.27418572902638)","('car', -7.403576929523277)","('speedway', -7.591872503600746)","('indy', -7.644893516420012)","('drivers', -7.688329242134503)","('driver', -7.701174183710545)","('auto', -7.706682769355134)","('races', -7.770659160094459)"
postal service,"('postal', -7.008188452156748)","('mail', -7.606182248404657)","('stamps', -7.745705021392655)","('stamp', -7.900642976578217)","('post', -8.161949982281765)","('letter', -8.43506540446225)","('anthrax', -8.459194728304563)","('letters', -8.473451665507312)","('postage', -8.553876228591097)","('postmaster', -8.555358725712274)"
biology and biochemistry,"('dr', -7.9191947510255565)","('scientists', -8.11581213221115)","('cells', -8.25185114914205)","('biology', -8.3117455167276)","('research', -8.405118560816192)","('genes', -8.412228166464688)","('researchers', -8.483751144337184)","('science', -8.50754296451736)","('human', -8.5110808000458)","('genetic', -8.532747332124455)"
vice presidents and vice presidency (us),"('vice', -8.081370817545581)","('bush', -8.176580842935245)","('presidential', -8.217429228482297)","('campaign', -8.329109691850633)","('senator', -8.338625139976362)","('cheney', -8.340280600675577)","('mate', -8.408508804671852)","('gore', -8.417798049880385)","('quayle', -8.431433606720889)","('republican', -8.626410002664127)"
contests and prizes,"('contest', -7.935434145082483)","('competition', -8.276256262475199)","('contestants', -8.317750230575237)","('pageant', -8.3411487805327)","('prize', -8.373422447291519)","('miss', -8.592534485522169)","('winner', -8.69345134921132)","('winners', -8.838741998093504)","('finalists', -8.960869846379296)","('students', -9.052069607463391)"
discount selling,"('discount', -8.224014765713145)","('discounts', -8.462101387005248)","('price', -8.631639339956472)","('prices', -8.680249463969563)","('stores', -8.70182713029917)","('fares', -8.841940348754756)","('sales', -8.864877106922611)","('fare', -8.905457229518456)","('travel', -8.96780714899537)","('store', -8.997777659453863)"
buses,"('bus', -6.5330539752002865)","('buses', -7.0983087968645195)","('transit', -7.2622400309283535)","('transportation', -7.714157421046206)","('authority', -7.829075533314128)","('riders', -8.008881734802003)","('passengers', -8.011828462594448)","('driver', -8.016065592152458)","('subway', -8.105755147237076)","('drivers', -8.172521524352746)"
urban areas,"('cities', -7.642956856527056)","('urban', -7.683914727240275)","('areas', -8.470947901650307)","('housing', -8.522557278881806)","('development', -8.710355440788287)","('neighborhoods', -8.713655590290841)","('community', -8.731821410215428)","('schools', -8.783799871505385)","('poor', -8.820496675563671)","('mayor', -8.853216442355992)"
taxicabs and taxicab drivers,"('taxi', -7.214858183607909)","('cab', -7.386735588859547)","('drivers', -7.64536186423211)","('cabs', -7.772303043897263)","('driver', -7.775977678312215)","('livery', -8.127101379594897)","('limousine', -8.20308879592427)","('police', -8.294730869281677)","('taxis', -8.317640039294634)","('commission', -8.385982894711994)"
bakeries and baked products,"('bakery', -8.114356742271788)","('pizza', -8.492132833150084)","('bread', -8.492974260148651)","('cookies', -8.51539340854853)","('baking', -8.519913053516937)","('chocolate', -8.57032258699738)","('cake', -8.570354827914567)","('food', -8.595973698904675)","('dough', -8.649252482809347)","('oven', -8.790848872052768)"
death and dying,"('death', -7.729564478830181)","('suicide', -8.053860580945997)","('die', -8.058875740380078)","('medical', -8.105496264118191)","('patients', -8.114682301443498)","('patient', -8.120220488066632)","('assisted', -8.21500269964164)","('dr', -8.23915474957584)","('doctors', -8.239454271069295)","('kevorkian', -8.26570512916095)"
shoes and boots,"('shoes', -7.608786246428595)","('shoe', -7.781074998812331)","('nike', -8.296670625174047)","('footwear', -8.381900005895918)","('boots', -8.876943235869629)","('leather', -8.960757539212768)","('sneakers', -8.978569204957234)","('fashion', -8.980318655854852)","('pair', -8.98771979302595)","('reebok', -9.002695523742037)"
archaeology and anthropology,"('museum', -7.857492851439108)","('ancient', -7.858476688309529)","('dr', -8.067950013274885)","('artifacts', -8.185808415406157)","('archeologists', -8.308376298469422)","('site', -8.324600870906504)","('archaeologists', -8.355249226823707)","('antiquities', -8.415216125114721)","('century', -8.420296418993303)","('art', -8.42594015225843)"
dairy products,"('milk', -7.525670443237386)","('dairy', -7.811586227988562)","('cheese', -8.546736122021615)","('farmers', -8.657236905661051)","('food', -8.757458179900954)","('cows', -8.77865523429094)","('farm', -8.923260168600583)","('farms', -8.998937519082377)","('eggs', -9.01147396659525)","('agriculture', -9.043561306131489)"
cruises,"('cruise', -7.387335960250244)","('cruises', -7.724887496418921)","('ship', -7.943277826206552)","('passengers', -8.205310585795111)","('ships', -8.289708323603145)","('caribbean', -8.65694214947752)","('travel', -8.662772949694538)","('passenger', -8.76153997356266)","('carnival', -8.854259561048355)","('lines', -8.936272609202616)"
mines and mining,"('mining', -7.51530052636638)","('miners', -7.810767123399382)","('coal', -8.127308052325425)","('mines', -8.195466166905264)","('gold', -8.55255394259471)","('environmental', -8.981671543172116)","('companies', -9.030305616361336)","('workers', -9.082265347634642)","('copper', -9.089121608891377)","('miner', -9.124116390510608)"
chess,"('chess', -7.138491671825725)","('pawn', -7.319237406159224)","('kasparov', -7.463162309782766)","('grandmaster', -7.69620336100623)","('game', -7.79929164326056)","('karpov', -7.886856471738322)","('black', -7.947125547335338)","('e5', -8.165520577432693)","('pawns', -8.178705430743017)","('bishop', -8.209137915818165)"
speech,"('speech', -7.395445088928934)","('amendment', -7.604636858829461)","('court', -7.692666633193573)","('rights', -8.029090158750844)","('supreme', -8.248732535917219)","('freedom', -8.264203543089053)","('liberties', -8.28299868311612)","('civil', -8.28849767637309)","('judge', -8.318088259873939)","('decision', -8.40534619586738)"
